["port 4","RIGHT"]
["port 1","LEFT"]
["port 3","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.8737028625000000e+14 8.1308344645359937e-02 2.8945485341076185e+00
1.8795765391849531e+14 6.3050488371904675e-02 3.6146678633233269e+00
1.8854871572327044e+14 5.6318065267259902e-02 4.3935126000072877e+00
1.8914350662460569e+14 3.8688047140035001e-02 5.9138601927132379e+00
1.8974206202531647e+14 3.8804807860548886e-02 7.4363704369503045e+00
1.9034441777777778e+14 2.1124837362747510e-02 9.2249300929716522e+00
1.9095061019108281e+14 3.5859508870594520e-03 1.0054882042762101e+01
1.9156067603833866e+14 9.5603445637180713e-04 1.3024059985239379e+01
1.9217465256410256e+14 6.0065571930122521e-03 1.0042105994668850e+01
1.9279257749196144e+14 4.2573871650405911e-03 1.2362176741101678e+01
1.9341448903225806e+14 2.1562957997699342e-03 1.5251104871078361e+01
1.9404042588996762e+14 7.0063985116720299e-03 1.8057892321709563e+01
1.9467042727272725e+14 6.9215126275802858e-03 1.9963603625379704e+01
1.9530453289902281e+14 1.0898656672286360e-02 2.1563304102308141e+01
1.9594278300653594e+14 3.4289177385157309e-03 2.4686805016686460e+01
1.9658521836065575e+14 4.5412385385271634e-03 2.5601470173117399e+01
1.9723188026315788e+14 1.4831025495844208e-03 2.4680171401084749e+01
1.9788281056105609e+14 3.2704312703759252e-02 2.6548521464877116e+01
1.9853805165562916e+14 2.6651050794722561e-02 2.6737639270467543e+01
1.9919764651162791e+14 5.4653204299454451e-02 2.8480431242165000e+01
1.9986163866666666e+14 6.8428353789675239e-02 3.1382598973118537e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(21, 3)
1.8737028625000000e+14 2.6668411375657723e-02 2.5561527216175053e+00
1.8795765391849531e+14 2.4662220478950815e-02 2.8584865339719214e+00
1.8854871572327044e+14 1.4670118203560692e-02 2.5426500034856008e+00
1.8914350662460569e+14 1.9960244560674294e-02 2.2960956197074154e+00
1.8974206202531647e+14 2.4101316844947960e-02 2.3053954394992218e+00
1.9034441777777778e+14 6.8218616110431755e-03 3.6991550684489898e+00
1.9095061019108281e+14 1.2584273779871036e-02 2.5815209477823915e+00
1.9156067603833866e+14 8.6875186913466362e-03 -3.4035898633259487e-01
1.9217465256410256e+14 6.1754232809879085e-03 2.3994312384834342e+00
1.9279257749196144e+14 1.9096480811809093e-03 3.4027795671752994e+00
1.9341448903225806e+14 2.0013553455438655e-03 6.0002273798202248e+00
1.9404042588996762e+14 1.1382344521293885e-03 8.9884311901158949e+00
1.9467042727272725e+14 5.2552299485392109e-03 8.1142534089984757e+00
1.9530453289902281e+14 8.3542978707111352e-03 1.0212569373735620e+01
1.9594278300653594e+14 8.9547386741018163e-03 1.1555151130517558e+01
1.9658521836065575e+14 1.4815401694633686e-02 1.3104553029033111e+01
1.9723188026315788e+14 1.1687654034762362e-02 1.2763887835927623e+01
1.9788281056105609e+14 2.8991741817812982e-02 1.4149716599663806e+01
1.9853805165562916e+14 2.9071773719312327e-02 1.6326309660681328e+01
1.9919764651162791e+14 1.5686918326210445e-02 1.8483313872251760e+01
1.9986163866666666e+14 4.5868937972110169e-02 1.9788600126548278e+01
("port 1","mode 1",1,"port 2",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.2923909848938155e-01 -2.1339040078460187e+00
1.8795765391849531e+14 5.2104985422579631e-01 -4.6333413991600993e+00
1.8854871572327044e+14 5.5273348656201415e-01 -7.0966825539583329e+00
1.8914350662460569e+14 5.8519793844378754e-01 -9.3995085022208897e+00
1.8974206202531647e+14 6.0291203619045841e-01 -1.1688084716054192e+01
1.9034441777777778e+14 6.1065266480951386e-01 -1.3863272757231712e+01
1.9095061019108281e+14 6.5636063469295303e-01 -1.6004946159182136e+01
1.9156067603833866e+14 6.6074283544583490e-01 -1.8079627696258697e+01
1.9217465256410256e+14 6.7668042802738593e-01 -2.0053210468032077e+01
1.9279257749196144e+14 6.8592813792509733e-01 -2.1982825201942088e+01
1.9341448903225806e+14 6.9553919777127038e-01 -2.3826107519490346e+01
1.9404042588996762e+14 6.9755393209051686e-01 -2.5594959847843569e+01
1.9467042727272725e+14 6.9413168945894932e-01 -2.7296539598330344e+01
1.9530453289902281e+14 6.7614423429644988e-01 -2.8936778151524699e+01
1.9594278300653594e+14 6.5273110395915801e-01 -3.0498918948744890e+01
1.9658521836065575e+14 6.3060150337690357e-01 -3.1992803557840887e+01
1.9723188026315788e+14 6.0308196953692095e-01 -3.3411354210838596e+01
1.9788281056105609e+14 5.7418180343830638e-01 -3.4733198214858561e+01
1.9853805165562916e+14 5.6151300113770208e-01 -3.5973344069766419e+01
1.9919764651162791e+14 4.8217369373840896e-01 -3.7194050716714187e+01
1.9986163866666666e+14 4.8308362735302124e-01 -3.8302933672602578e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.0583153405268966e-01 2.5371546377689271e+00
1.8795765391849531e+14 5.0844598785366835e-01 3.6188624523215392e-03
1.8854871572327044e+14 5.5315541531856460e-01 -2.3621413023672972e+00
1.8914350662460569e+14 5.6636175702352465e-01 -4.7509565466996104e+00
1.8974206202531647e+14 6.1020057765178370e-01 -6.9801008396743995e+00
1.9034441777777778e+14 6.2893335882066093e-01 -9.1897907946731738e+00
1.9095061019108281e+14 6.4921857631838986e-01 -1.1314224872106848e+01
1.9156067603833866e+14 6.7202906938976048e-01 -1.3358974707798287e+01
1.9217465256410256e+14 6.8265809204000238e-01 -1.5340110155656436e+01
1.9279257749196144e+14 6.9263411429702504e-01 -1.7253747649723902e+01
1.9341448903225806e+14 6.9367160550569162e-01 -1.9099935493854503e+01
1.9404042588996762e+14 6.8580190379290584e-01 -2.0880097950476625e+01
1.9467042727272725e+14 6.8313325754293741e-01 -2.2582855027698908e+01
1.9530453289902281e+14 6.7609067646418830e-01 -2.4226262741924955e+01
1.9594278300653594e+14 6.5504949458181549e-01 -2.5791512245555111e+01
1.9658521836065575e+14 6.2977256911982082e-01 -2.7257640753949097e+01
1.9723188026315788e+14 6.2010959637333618e-01 -2.8676684548925582e+01
1.9788281056105609e+14 5.8585032369527990e-01 -3.0036800720983425e+01
1.9853805165562916e+14 5.2422114896432259e-01 -3.1350334103933342e+01
1.9919764651162791e+14 4.8310390851404456e-01 -3.2619650019097243e+01
1.9986163866666666e+14 4.4432521911428968e-01 -3.3744114936772348e+01
("port 3","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.8737028625000000e+14 2.6668418831684769e-02 2.5561527000478117e+00
1.8795765391849531e+14 2.4662215130217758e-02 2.8584862688296404e+00
1.8854871572327044e+14 1.4670112363303026e-02 2.5426498280064873e+00
1.8914350662460569e+14 1.9960245323463400e-02 2.2960958824385975e+00
1.8974206202531647e+14 2.4101316109875918e-02 2.3053955283538641e+00
1.9034441777777778e+14 6.8218602375854651e-03 3.6991552782026411e+00
1.9095061019108281e+14 1.2584273566542755e-02 2.5815208545465600e+00
1.9156067603833866e+14 8.6875173820161536e-03 -3.4035928703459073e-01
1.9217465256410256e+14 6.1754244452161796e-03 2.3994313056981800e+00
1.9279257749196144e+14 1.9096479312206449e-03 3.4027795667003082e+00
1.9341448903225806e+14 2.0013550806650391e-03 6.0002274136510483e+00
1.9404042588996762e+14 1.1382340592184421e-03 8.9884316387890113e+00
1.9467042727272725e+14 5.2552299339492757e-03 8.1142535791227690e+00
1.9530453289902281e+14 8.3542966521079898e-03 1.0212569465782426e+01
1.9594278300653594e+14 8.9547394542160517e-03 1.1555150967136589e+01
1.9658521836065575e+14 1.4815403513907584e-02 1.3104552994847314e+01
1.9723188026315788e+14 1.1687652077270709e-02 1.2763887825597951e+01
1.9788281056105609e+14 2.8991732317632336e-02 1.4149716661605815e+01
1.9853805165562916e+14 2.9071777442057807e-02 1.6326309669348905e+01
1.9919764651162791e+14 1.5686922090748168e-02 1.8483314401927316e+01
1.9986163866666666e+14 4.5868932203771008e-02 1.9788600018275417e+01
("port 3","mode 1",1,"port 3",1,"transmission")
(21, 3)
1.8737028625000000e+14 8.1308339402618432e-02 2.8945487772748062e+00
1.8795765391849531e+14 6.3050468516162736e-02 3.6146680253153063e+00
1.8854871572327044e+14 5.6318063938462955e-02 4.3935129619257474e+00
1.8914350662460569e+14 3.8688046950402677e-02 5.9138603487692665e+00
1.8974206202531647e+14 3.8804798112035889e-02 7.4363707262964800e+00
1.9034441777777778e+14 2.1124827289013725e-02 9.2249307122572741e+00
1.9095061019108281e+14 3.5859440498481302e-03 1.0054880527944924e+01
1.9156067603833866e+14 9.5603128782577795e-04 1.3024062477499282e+01
1.9217465256410256e+14 6.0065597536315433e-03 1.0042105901593477e+01
1.9279257749196144e+14 4.2573896746643681e-03 1.2362176428176898e+01
1.9341448903225806e+14 2.1562948240222359e-03 1.5251105013613572e+01
1.9404042588996762e+14 7.0064005297301290e-03 1.8057892794982862e+01
1.9467042727272725e+14 6.9215140396808967e-03 1.9963604175811273e+01
1.9530453289902281e+14 1.0898652272237604e-02 2.1563304750206406e+01
1.9594278300653594e+14 3.4289198471384079e-03 2.4686804743964437e+01
1.9658521836065575e+14 4.5412326831614815e-03 2.5601471561529220e+01
1.9723188026315788e+14 1.4831043887051319e-03 2.4680167667880070e+01
1.9788281056105609e+14 3.2704320594667491e-02 2.6548521373777987e+01
1.9853805165562916e+14 2.6651043771265807e-02 2.6737640134773219e+01
1.9919764651162791e+14 5.4653184405199236e-02 2.8480431136402728e+01
1.9986163866666666e+14 6.8428355568043289e-02 3.1382598519980164e+01
("port 3","mode 1",1,"port 2",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.0583153105207934e-01 2.5371546617117309e+00
1.8795765391849531e+14 5.0844598612898517e-01 3.6188552799171578e-03
1.8854871572327044e+14 5.5315540452048662e-01 -2.3621413051351539e+00
1.8914350662460569e+14 5.6636175984304893e-01 -4.7509565539885106e+00
1.8974206202531647e+14 6.1020057687607721e-01 -6.9801008401281468e+00
1.9034441777777778e+14 6.2893336358976470e-01 -9.1897908067258225e+00
1.9095061019108281e+14 6.4921857736392075e-01 -1.1314224871098133e+01
1.9156067603833866e+14 6.7202906760240866e-01 -1.3358974706311900e+01
1.9217465256410256e+14 6.8265809241279418e-01 -1.5340110155065751e+01
1.9279257749196144e+14 6.9263411445792467e-01 -1.7253747649532173e+01
1.9341448903225806e+14 6.9367160483312940e-01 -1.9099935494312948e+01
1.9404042588996762e+14 6.8580190287292819e-01 -2.0880097951240277e+01
1.9467042727272725e+14 6.8313325877532216e-01 -2.2582855028941619e+01
1.9530453289902281e+14 6.7609067554312263e-01 -2.4226262741529812e+01
1.9594278300653594e+14 6.5504949100149501e-01 -2.5791512244095845e+01
1.9658521836065575e+14 6.2977257107374685e-01 -2.7257640751116636e+01
1.9723188026315788e+14 6.2010959267205068e-01 -2.8676684554070157e+01
1.9788281056105609e+14 5.8585032458039266e-01 -3.0036800712489512e+01
1.9853805165562916e+14 5.2422115564349259e-01 -3.1350334123681719e+01
1.9919764651162791e+14 4.8310390082655075e-01 -3.2619649999807827e+01
