["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
["port 1","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.8737028625000000e+14 1.5688090213439759e-01 1.9553971542998523e+00
1.8795765391849531e+14 1.4354346128997172e-01 2.6590552471361613e+00
1.8854871572327044e+14 1.1588665606430383e-01 4.2060512610259639e+00
1.8914350662460569e+14 1.5756707823391403e-01 5.4618311096598546e+00
1.8974206202531647e+14 1.7753458705480435e-01 6.9108073460700181e+00
1.9034441777777778e+14 1.6934115296136579e-01 8.2347477857140650e+00
1.9095061019108281e+14 1.7767740581989797e-01 9.8664537466000102e+00
1.9156067603833866e+14 1.4365304871475063e-01 1.1630748850642110e+01
1.9217465256410256e+14 1.4261486950298025e-01 1.3332628035994773e+01
1.9279257749196144e+14 1.3545173545384531e-01 1.5211852700298142e+01
1.9341448903225806e+14 1.4288225990216155e-01 1.7081775010871532e+01
1.9404042588996762e+14 1.1945941598193517e-01 1.9248779447571398e+01
1.9467042727272725e+14 1.1401957372800459e-01 2.1092019597071776e+01
1.9530453289902281e+14 1.2467477448052713e-01 2.3487512072424824e+01
1.9594278300653594e+14 8.8380662775758539e-02 2.5499375829301901e+01
1.9658521836065575e+14 7.2397950054208043e-02 2.8001368662247298e+01
1.9723188026315788e+14 6.0615800575447944e-02 3.0372493492015728e+01
1.9788281056105609e+14 1.0369660088706269e-01 3.2259241488128474e+01
1.9853805165562916e+14 1.5594800705725778e-01 3.5308321758417584e+01
1.9919764651162791e+14 1.9935626071207974e-01 3.8423184819497941e+01
1.9986163866666666e+14 2.5880771959980881e-01 3.5579782401451631e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(21, 3)
1.8737028625000000e+14 3.1683017826644733e-02 2.4640940394255137e+00
1.8795765391849531e+14 2.8044551688427333e-02 2.5527978485870779e+00
1.8854871572327044e+14 6.4254412707665506e-02 4.4912555581872091e+00
1.8914350662460569e+14 1.3742479617675873e-01 5.6129261605779481e+00
1.8974206202531647e+14 1.6878805669270738e-01 7.0256768854467646e+00
1.9034441777777778e+14 1.6424190868079641e-01 8.3682834340618726e+00
1.9095061019108281e+14 1.6575700251175646e-01 9.9537778060692119e+00
1.9156067603833866e+14 1.3693174235105959e-01 1.1607571896246098e+01
1.9217465256410256e+14 1.5718427731689477e-01 1.3249586346594086e+01
1.9279257749196144e+14 1.5332301582244226e-01 1.5383169707058382e+01
1.9341448903225806e+14 9.7391627436494113e-02 1.7355085211187436e+01
1.9404042588996762e+14 9.2656016175550332e-02 1.8856020949204147e+01
1.9467042727272725e+14 1.3563703434649310e-01 2.1191498599254153e+01
1.9530453289902281e+14 1.3408258416267410e-01 2.3641025609058655e+01
1.9594278300653594e+14 1.1427396323352842e-01 2.6011679990688798e+01
1.9658521836065575e+14 1.0305020750378345e-01 2.8527235371938396e+01
1.9723188026315788e+14 1.2722917027223607e-01 3.1459070292570594e+01
1.9788281056105609e+14 7.1841410034515815e-02 3.4157561657969069e+01
1.9853805165562916e+14 9.0282818417603189e-02 3.7120397157235196e+01
1.9919764651162791e+14 1.1476439053529368e-01 3.4059721583670651e+01
1.9986163866666666e+14 8.9860680047634797e-02 3.1406085372452427e+01
("port 1","mode 1",1,"port 2",1,"transmission")
(21, 3)
1.8737028625000000e+14 2.8562050115655430e-01 -9.3988378390477079e-01
1.8795765391849531e+14 3.9849621009315844e-01 -2.9138088676091365e+00
1.8854871572327044e+14 4.1093684956634768e-01 -4.9393651134420669e+00
1.8914350662460569e+14 4.2548191504447530e-01 -6.6985361173425222e+00
1.8974206202531647e+14 4.6464270200308827e-01 -8.2164726673369373e+00
1.9034441777777778e+14 4.7545842482797473e-01 -9.7052109715704145e+00
1.9095061019108281e+14 5.1566373451658098e-01 -1.1167642105615522e+01
1.9156067603833866e+14 5.3992052803954782e-01 -1.2523377363909345e+01
1.9217465256410256e+14 5.6846058759695772e-01 -1.3886377059046847e+01
1.9279257749196144e+14 5.8304739384310644e-01 -1.5185906677167219e+01
1.9341448903225806e+14 5.8936662752425428e-01 -1.6405791441121341e+01
