["port_1","LEFT"]
["port_2","RIGHT"]
["port_3","LEFT"]
["port_4","RIGHT"]
("port_1","mode 1",1,"port_1",1,"transmission",5.39459e-14)
(53, 3)
1.8737028624999997e+14 3.1041735295601271e-03 -7.2106706269598853e-01
1.8762011329833331e+14 2.7674709061321491e-03 -7.8482130262841532e-01
1.8786994034666662e+14 2.4570586753008086e-03 -8.8261077378388297e-01
1.8811976739499997e+14 2.2234291923505234e-03 -1.0135539553509068e+00
1.8836959444333331e+14 2.0915901522203244e-03 -1.1597915993797423e+00
1.8861942149166662e+14 2.0437817165212609e-03 -1.2929065243156250e+00
1.8886924853999997e+14 2.0318866153192006e-03 -1.3932821766243002e+00
1.8911907558833331e+14 2.0069636899767676e-03 -1.4594716615515639e+00
1.8936890263666662e+14 1.9387388482549103e-03 -1.5020410236667041e+00
1.8961872968499997e+14 1.8213371730388664e-03 -1.5359271606765688e+00
1.8986855673333331e+14 1.6678395102455465e-03 -1.5774121197655937e+00
1.9011838378166662e+14 1.5052540456247682e-03 -1.6408041455087456e+00
1.9036821082999997e+14 1.3664651234050287e-03 -1.7324650943667532e+00
1.9061803787833331e+14 1.2778908633605686e-03 -1.8410577214220161e+00
1.9086786492666666e+14 1.2442185715706654e-03 -1.9364759447180442e+00
1.9111769197499997e+14 1.2451953001706240e-03 -1.9890153609231063e+00
1.9136751902333331e+14 1.2515069977199957e-03 -1.9856092211482752e+00
1.9161734607166666e+14 1.2402137184501438e-03 -1.9289420296850914e+00
1.9186717311999997e+14 1.2025507606033790e-03 -1.8281392485790049e+00
1.9211700016833331e+14 1.1392260422973589e-03 -1.6938965637955872e+00
1.9236682721666666e+14 1.0589680475703582e-03 -1.5372334980628044e+00
1.9261665426499997e+14 9.7320783720830173e-04 -1.3706861172270537e+00
1.9286648131333331e+14 8.9479738523188135e-04 -1.2111883598754578e+00
1.9311630836166666e+14 8.3551762646467314e-04 -1.0807414587519493e+00
1.9336613540999997e+14 8.0568803024798916e-04 -1.0007853665240312e+00
1.9359660086208747e+14 8.1475432946436963e-04 -9.7820732638605457e-01
1.9361596245833331e+14 8.1662815626265962e-04 -9.7793406368841984e-01
1.9363532405457916e+14 8.1879637863290367e-04 -9.7820732638605468e-01
1.9386578950666666e+14 8.7910284937239543e-04 -9.9244572901503814e-01
1.9411561655499997e+14 9.9532230059988318e-04 -1.0104395010927802e+00
1.9436544360333331e+14 1.1515737888987269e-03 -1.0088795711824783e+00
1.9461527065166666e+14 1.3264596538959110e-03 -9.8438586192678657e-01
1.9486509769999997e+14 1.4957476305012569e-03 -9.4533849580127949e-01
1.9511492474833331e+14 1.6377044437993287e-03 -9.0272274885095416e-01
1.9536475179666666e+14 1.7367257762584247e-03 -8.6750635046967883e-01
1.9561457884499997e+14 1.7868341513742403e-03 -8.4982744815299915e-01
1.9586440589333331e+14 1.7949650004764838e-03 -8.5859898471424079e-01
1.9611423294166666e+14 1.7815716076450270e-03 -9.0008318389875275e-01
1.9636405999000000e+14 1.7770277811226369e-03 -9.7431458463604104e-01
1.9661388703833331e+14 1.8107343025143877e-03 -1.0704365618476406e+00
1.9686371408666666e+14 1.8956250447081382e-03 -1.1689526033206217e+00
1.9711354113500000e+14 2.0217964028618465e-03 -1.2522988157031631e+00
1.9736336818333331e+14 2.1599430233986486e-03 -1.3138708040552391e+00
1.9761319523166666e+14 2.2783044974039966e-03 -1.3575101919529127e+00
1.9786302228000000e+14 2.3524633100027981e-03 -1.3924876200033822e+00
1.9811284932833331e+14 2.3729791901489273e-03 -1.4300595679100772e+00
1.9836267637666666e+14 2.3466431404907803e-03 -1.4815233402532504e+00
1.9861250342500000e+14 2.2964379621301136e-03 -1.5560997158730128e+00
1.9886233047333331e+14 2.2561079413199949e-03 -1.6569699617331894e+00
1.9911215752166666e+14 2.2585485334578291e-03 -1.7773492399878872e+00
1.9936198457000000e+14 2.3201790701595781e-03 -1.9006817290271525e+00
1.9961181161833331e+14 2.4312349497034101e-03 -2.0101163379450768e+00
1.9986163866666666e+14 2.5619337117546086e-03 -2.0976996815776157e+00
("port_1","mode 1",1,"port_2",1,"transmission",2.6005570654023327e-12)
(53, 3)
1.8737028624999997e+14 4.2489204069431419e-01 1.7521295715770078e+00
1.8762011329833331e+14 4.3218329690342172e-01 1.7292714731511007e+00
1.8786994034666662e+14 4.3949971756726802e-01 1.7050452414154411e+00
1.8811976739499997e+14 4.4755164650196705e-01 1.6796468611223903e+00
1.8836959444333331e+14 4.5687972452950026e-01 1.6546444122258344e+00
1.8861942149166662e+14 4.6732962661079824e-01 1.6319571792419201e+00
1.8886924853999997e+14 4.7809863922360479e-01 1.6124130815917677e+00
1.8911907558833331e+14 4.8837471256634435e-01 1.5951382186555092e+00
1.8936890263666662e+14 4.9800420854168503e-01 1.5784392958088997e+00
1.8961872968499997e+14 5.0753717154936651e-01 1.5613737982223419e+00
1.8986855673333331e+14 5.1760213078269202e-01 1.5444827256374294e+00
1.9011838378166662e+14 5.2826915866051394e-01 1.5289974816708409e+00
1.9036821082999997e+14 5.3906952391045504e-01 1.5155312009673838e+00
1.9061803787833331e+14 5.4954887794217011e-01 1.5036932776783856e+00
1.9086786492666666e+14 5.5964307542022362e-01 1.4927977647954198e+00
1.9111769197499997e+14 5.6954859264359592e-01 1.4825959402564406e+00
1.9136751902333331e+14 5.7939776848131885e-01 1.4732550920226017e+00
1.9161734607166666e+14 5.8916559131896684e-01 1.4649673150540912e+00
1.9186717311999997e+14 5.9879890294347760e-01 1.4578069571378423e+00
1.9211700016833331e+14 6.0825553713338298e-01 1.4518512551907718e+00
1.9236682721666666e+14 6.1742717499957678e-01 1.4472078012150635e+00
1.9261665426499997e+14 6.2614319052011613e-01 1.4438455915495574e+00
1.9286648131333331e+14 6.3427392256922077e-01 1.4415593303097276e+00
1.9311630836166666e+14 6.4178407298882056e-01 1.4401378407834109e+00
1.9336613540999997e+14 6.4867191437785210e-01 1.4394286738137925e+00
