["port_1","LEFT"]
["port_2","RIGHT"]
["port_3","LEFT"]
["port_4","RIGHT"]
("port_1","mode 1",1,"port_1",1,"transmission",1.28548e-13)
(53, 3)
1.8737028624999997e+14 8.8163718748167363e-03 1.6360603658821149e+00
1.8762011329833331e+14 8.5868442521608353e-03 1.4129879828871583e+00
1.8786994034666662e+14 8.5616751758795916e-03 1.1927331665444354e+00
1.8811976739499997e+14 8.6404846547340885e-03 9.8615511222918162e-01
1.8836959444333331e+14 8.6812813269292397e-03 7.9925996760290818e-01
1.8861942149166662e+14 8.5658464156947826e-03 6.3252306447379247e-01
1.8886924853999997e+14 8.2440197981945695e-03 4.8179591540209671e-01
1.8911907558833331e+14 7.7391958445494685e-03 3.3842220741507834e-01
1.8936890263666662e+14 7.1201175165740037e-03 1.8914124096900570e-01
1.8961872968499997e+14 6.4705864286606655e-03 1.8182737710031194e-02
1.8986855673333331e+14 5.8754554395669505e-03 -1.8702220060108890e-01
1.9011838378166662e+14 5.4096766158104621e-03 -4.2630085444107541e-01
1.9036821082999997e+14 5.1087516097037579e-03 -6.8003828822937595e-01
1.9061803787833331e+14 4.9376215483698518e-03 -9.1679557600557726e-01
1.9086786492666666e+14 4.8062489343127009e-03 -1.1128362511752570e+00
1.9111769197499997e+14 4.6300530511506404e-03 -1.2628323361360156e+00
1.9136751902333331e+14 4.3610520083851483e-03 -1.3770980102822232e+00
1.9161734607166666e+14 3.9753542475629141e-03 -1.4751661164572198e+00
1.9186717311999997e+14 3.4599413909036339e-03 -1.5789627551721985e+00
1.9211700016833331e+14 2.8276375115226767e-03 -1.7095554919609133e+00
1.9236682721666666e+14 2.1425232775401067e-03 -1.8899426110126047e+00
1.9261665426499997e+14 1.5169455060667755e-03 -2.1511785545462132e+00
1.9286648131333331e+14 1.0716712973413418e-03 -2.5123171170412193e+00
1.9311630836166666e+14 8.4285972222882650e-04 -2.8879472619651025e+00
1.9336613540999997e+14 7.2642417195727810e-04 -3.1027216699266322e+00
1.9359660086208747e+14 6.4937425010143108e-04 -3.0813742020127353e+00
1.9361596245833331e+14 6.1087175619406573e-04 -3.0745931552991754e+00
1.9363532405457916e+14 5.7472392573872197e-04 -3.0813742020127353e+00
1.9386578950666666e+14 4.8387406520310043e-04 -2.7197368809123019e+00
1.9411561655499997e+14 5.1016836890605043e-04 -1.9568180228781196e+00
1.9436544360333331e+14 8.6908181958454038e-04 -1.4266601653988791e+00
1.9461527065166666e+14 1.4122595634826875e-03 -1.2565977490456084e+00
1.9486509769999997e+14 1.9701895997368351e-03 -1.2394780082753871e+00
1.9511492474833331e+14 2.4193844083981002e-03 -1.2945458847885876e+00
1.9536475179666666e+14 2.6957030251622532e-03 -1.3954188904893554e+00
1.9561457884499997e+14 2.8143094119430891e-03 -1.5373826575687197e+00
1.9586440589333331e+14 2.8637374662913379e-03 -1.7257405785301567e+00
1.9611423294166666e+14 2.9738174376801704e-03 -1.9601876311216235e+00
1.9636405999000000e+14 3.2582511228184466e-03 -2.2182853270902192e+00
1.9661388703833331e+14 3.7474879534951325e-03 -2.4648420585032351e+00
1.9686371408666666e+14 4.3699940759192946e-03 -2.6791658636348572e+00
1.9711354113500000e+14 4.9989069455885198e-03 -2.8616631576548746e+00
1.9736336818333331e+14 5.5176468475252411e-03 -3.0222927871060232e+00
1.9761319523166666e+14 5.8660703561771201e-03 -3.1730700004819341e+00
1.9786302228000000e+14 6.0540221123360667e-03 -3.3268914217936993e+00
1.9811284932833331e+14 6.1481332055426845e-03 -3.4970345005064933e+00
1.9836267637666666e+14 6.2454970415513414e-03 -3.6933274620836296e+00
1.9861250342500000e+14 6.4432170781302100e-03 -3.9153201564405462e+00
1.9886233047333331e+14 6.7987451089822400e-03 -4.1493494167341911e+00
1.9911215752166666e+14 7.2971396556036914e-03 -4.3761581075590907e+00
1.9936198457000000e+14 7.8565313966879966e-03 -4.5824683523689149e+00
1.9961181161833331e+14 8.3767629667657346e-03 -4.7662233148005893e+00
1.9986163866666666e+14 8.7913581882132028e-03 -4.9340414017149818e+00
("port_1","mode 1",1,"port_2",1,"transmission",2.7605940570110996e-12)
(53, 3)
1.8737028624999997e+14 1.5193315845263669e-01 1.6334944786520980e+00
1.8762011329833331e+14 1.8425437982114737e-01 1.4682677916146303e+00
1.8786994034666662e+14 2.1602071725003244e-01 1.3132104985303947e+00
1.8811976739499997e+14 2.4694069547407829e-01 1.1676436438421987e+00
1.8836959444333331e+14 2.7668195980307303e-01 1.0311321023361257e+00
1.8861942149166662e+14 3.0491148008939223e-01 9.0284104291434741e-01
1.8886924853999997e+14 3.3128767480378796e-01 7.8192267589079001e-01
1.8911907558833331e+14 3.5556919029840084e-01 6.6774939353270002e-01
1.8936890263666662e+14 3.7765773877497799e-01 5.5974246865015076e-01
1.8961872968499997e+14 3.9763050561469421e-01 4.5734240913660973e-01
1.8986855673333331e+14 4.1575447761492951e-01 3.6014575188433878e-01
1.9011838378166662e+14 4.3246060117695073e-01 2.6818955141689804e-01
1.9036821082999997e+14 4.4822634929602800e-01 1.8196778178504860e-01
1.9061803787833331e+14 4.6338440596028002e-01 1.0231970552713195e-01
1.9086786492666666e+14 4.7805949962512795e-01 3.0162688361431590e-02
1.9111769197499997e+14 4.9215319848286077e-01 -3.3822733935798807e-02
